type	dep_arg_span	filler	insert_position	pred	casemk	answers
zero		ナカジマホームによって	[164, 2]	[164, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
zero		ナカジマホームが	[165, 6]	[165, 20, 21]	ga	['A', 'A', 'A', 'A', 'D']
dep	[166, 25, 26]			[166, 29, 29]	ni	['G', 'D', 'G', 'G', 'G']
dep	[168, 0, 1]			[168, 2, 2]	o	['K', 'K', 'K', 'K', 'K']
dep	[172, 0, 1]			[172, 2, 2]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[173, 19]	[173, 55, 56]	ga	['A', 'A', 'D', 'A', 'D']
zero		エコハウス研究会が	[175, 0]	[175, 3, 3]	ga	['A', 'A', 'A', 'F', 'D']
dep	[176, 16, 19]			[176, 20, 20]	o	['K', 'K', 'K', 'K', 'K']
dep	[179, 0, 3]			[179, 4, 4]	o	['K', 'K', 'K', 'K', 'K']
dep	[182, 27, 32]			[182, 33, 34]	o	['K', 'K', 'K', 'K', 'K']
dep	[183, 47, 62]			[183, 63, 63]	o	['K', 'K', 'K', 'K', 'K']
dep	[184, 23, 25]			[184, 26, 26]	ga	['K', 'K', 'K', 'K', 'K']
zero		この部材が	[185, 4]	[185, 20, 20]	ga	['A', 'A', 'A', 'A', 'A']
zero		ナカジマホームによって	[186, 0]	[186, 4, 4]	ga	['A', 'A', 'A', 'D', 'D']
dep	[187, 1, 2]			[187, 3, 3]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[191, 6]	[191, 13, 13]	ga	['A', 'A', 'A', 'A', 'A']
zero		エコハウスが	[192, 3]	[192, 11, 11]	ga	['A', 'A', 'D', 'D', 'D']
dep	[194, 11, 13]			[194, 21, 22]	ga	['D', 'F', 'D', 'F', 'D']
dep	[195, 10, 12]			[195, 14, 14]	ga	['K', 'K', 'K', 'K', 'K']
dep	[196, 41, 42]			[196, 43, 43]	ga	['D', 'A', 'F', 'D', 'A']
dep	[197, 8, 9]			[197, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
zero		あなたが	[198, 1]	[198, 13, 14]	ga	['D', 'A', 'A', 'A', 'A']
zero		あなたが	[199, 1]	[199, 7, 8]	ga	['D', 'F', 'A', 'A', 'A']
zero		あなたの家が	[200, 8]	[200, 30, 30]	ga	['D', 'A', 'D', 'K', 'D']
dep	[202, 5, 8]			[202, 9, 9]	o	['K', 'K', 'K', 'K', 'K']
zero		エコハウス研究会が	[203, 0]	[203, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
dep	[204, 6, 12]			[204, 13, 13]	ga	['K', 'K', 'K', 'K', 'K']
dep	[205, 24, 25]			[205, 26, 26]	ga	['F', 'F', 'K', 'K', 'H']
dep	[206, 0, 1]			[206, 4, 4]	ga	['F', 'F', 'F', 'D', 'F']
dep	[207, 0, 2]			[207, 4, 4]	o	['K', 'K', 'K', 'K', 'K']
dep	[208, 10, 12]			[208, 13, 13]	ga	['K', 'K', 'K', 'K', 'K']
dep	[209, 4, 5]			[209, 6, 6]	ga	['H', 'K', 'K', 'K', 'I']
